perturbation,e_distance,e_pval,n_cells,n_donors,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates,n_signif_kd,n_guides_kd,kd_confirmed,best_kd_rank,kd_gated_hit,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor,direction_tier
IL4I1,9.699086138981784,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,0.1036305437563393,True,True,True,True,2,2,True,5990.0,True,0.0857554310656023,False,2,-0.0446;0.2161,brake
SECISBP2L,9.675934635253377,0.0009990009990009,244,2,1.1192660550407374,,0.0011657389743494,False,0.1726493963553998,True,True,True,True,2,2,True,9150.0,True,0.101716087535123,False,2,-0.0302;0.2337,brake
EIF4B,9.650467066311728,0.0009990009990009,290,2,1.330275229351696,,0.0011657389743494,False,,,True,True,True,2,2,True,11775.0,True,-0.048829778337756,False,2,0.1597;-0.2574,neutral
GP1BB,9.645238861294892,0.0009990009990009,223,2,1.0229357798118217,,0.0011657389743494,False,,,True,True,True,1,2,True,2037.0,True,-0.1775075257547168,True,2,-0.2472;-0.1078,enhancer
HAVCR1,9.583845372340695,0.0009990009990009,215,2,0.9862385321055678,,0.0011657389743494,False,,,True,True,True,2,2,True,2580.0,True,-0.0619959905760542,False,2,-0.1269;0.0029,enhancer
ARMC8,9.520939068225177,0.0009990009990009,235,2,1.077981651371202,,0.0011657389743494,False,,,True,True,True,2,2,True,10624.0,True,0.1910112881120613,True,2,0.1478;0.2343,brake
ZNF160,9.497245930880707,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,4969.0,True,0.1885182921651055,False,2,-0.0650;0.4421,brake
TXNRD1,9.473858213469557,0.0009990009990009,173,2,0.793577981647736,,0.0011657389743494,False,,,True,True,True,1,2,True,12217.0,True,0.0273718808371687,False,2,-0.0466;0.1013,neutral
AHR,9.425819886014873,0.0009990009990009,206,2,0.9449541284360324,,0.0011657389743494,False,0.1722237009743483,True,True,True,True,2,2,True,11221.0,True,0.1833767796611113,True,2,0.0481;0.3187,brake
ELOB,9.361287551096249,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,11030.0,True,-0.2445447895576844,True,2,-0.1629;-0.3262,enhancer
PCYT2,9.357310994466149,0.0009990009990009,256,2,1.174311926600118,,0.0011657389743494,False,,,True,True,True,2,2,True,5957.0,True,0.0275058759809774,False,2,0.2252;-0.1702,neutral
APEX2,9.30687793819112,0.0009990009990009,217,2,0.9954128440321311,,0.0011657389743494,False,,,True,True,True,2,2,True,8852.0,True,-0.0179258183953427,False,2,-0.0687;0.0328,neutral
