gene,ppr,is_seed,is_gated_hit,e_distance,e_qval,degree,enrichment,n_seed_nbrs,seed_weight_sum,seed_neighbors,is_sig_causal
LRCH1,3.6641199393663335e-06,False,True,1.8051617985878887,0.0011657389743494,6,0.28937997907802177,0,0.0,,True
GEMIN5,3.663912738022312e-06,False,False,,,26,0.06677621884766356,0,0.0,,False
KIF1B,3.661772346672822e-06,False,True,0.7140995912300241,0.0011657389743494,10,0.17351674441943835,0,0.0,,True
PKHD1,3.659994155644277e-06,False,False,,,11,0.15766589369032702,0,0.0,,False
P2RX7,3.6595814929305947e-06,False,True,0.6085707656718569,0.0011657389743494,21,0.08257758505905198,0,0.0,,True
CFC1,3.659408798693717e-06,False,False,,,12,0.1445039544457504,0,0.0,,False
DAOA,3.6587432331216626e-06,False,False,,,6,0.28895534474117185,0,0.0,,False
SYT7,3.6583443288379994e-06,False,False,,,6,0.28892384061052906,0,0.0,,False
MAP3K12,3.658012865898947e-06,False,False,1.0751200794793192,0.0340506522554563,6,0.2888976627724792,0,0.0,,True
P2RY2,3.6579635768605075e-06,False,False,,,19,0.09122961160690106,0,0.0,,False
LRGUK,3.6566334533658983e-06,False,False,,,12,0.14439436068433037,0,0.0,,False
RGS11,3.6472145193532105e-06,False,False,,,22,0.07855768509730511,0,0.0,,False
ATP6V1B2,3.6463617226297095e-06,False,False,,,57,0.03031342045412832,0,0.0,,False
LIAS,3.642232655278139e-06,False,False,,,17,0.1015240215311823,0,0.0,,False
SPEN,3.6421679648391037e-06,False,False,2.0392240423897903,0.0011657389743494,7,0.2465539588312368,0,0.0,,True
HDGF,3.6387753705851295e-06,False,True,2.0915559766728293,0.0011657389743494,14,0.12316214979324781,0,0.0,,True
RASAL3,3.6387503322726345e-06,False,True,1.0932095131921145,0.0011657389743494,6,0.2873763720751184,0,0.0,,True
VENTX,3.63746930721679e-06,False,False,0.7990282670925879,0.0022473347284046,9,0.19151680065752757,0,0.0,,True
RAB27B,3.637347842098462e-06,False,True,2.6257711238278176,0.0011657389743494,17,0.10138786167392808,0,0.0,,True
TMEM208,3.637021452924571e-06,False,False,0.6879274571582172,0.0370825424462853,5,0.34468779713656744,0,0.0,,True
SELENBP1,3.6369029398306476e-06,False,False,0.9435933853586036,0.0011657389743494,16,0.10771142669175943,0,0.0,,True
FFAR2,3.6367443158206764e-06,False,False,,,16,0.10770672884342411,0,0.0,,False
SAMD9,3.6362321992865026e-06,False,True,2.5398952224455518,0.0011657389743494,20,0.08615324949769511,0,0.0,,True
HOOK1,3.634670918028233e-06,False,True,1.8618949096592845,0.0011657389743494,13,0.13248655086283528,0,0.0,,True
SARS2-2,3.632729878251126e-06,False,False,,,37,0.046524469732650765,0,0.0,,False
TMSB4X,3.6322921774239127e-06,False,True,1.135704480051892,0.0011657389743494,10,0.17211979711940953,0,0.0,,True
ASPN,3.6317012223566723e-06,False,False,,,19,0.0905746284855754,0,0.0,,False
PITPNA,3.631404999934518e-06,False,True,1.9440636532946696,0.0011657389743494,10,0.17207775732689706,0,0.0,,True
BCO1,3.628932069772054e-06,False,False,,,25,0.06878423002328742,0,0.0,,False
ZC3H18,3.6198134331202926e-06,False,False,,,13,0.1319449841091063,0,0.0,,False
BRPF3,3.6168185794311055e-06,False,True,1.053190463898055,0.0011657389743494,10,0.17138656520492238,0,0.0,,True
CATSPER3,3.616811377209005e-06,False,False,,,35,0.04896749254869311,0,0.0,,False
TARS2,3.6140860922348096e-06,False,True,4.255215836969398,0.0011657389743494,37,0.0462856982612537,0,0.0,,True
SETMAR,3.61156007808886e-06,False,True,2.3056810244058923,0.0011657389743494,10,0.17113738586031874,0,0.0,,True
XKR8,3.6112164374730874e-06,False,True,0.9952747298914916,0.0011657389743494,3,0.5704036736869991,0,0.0,,True
MMP12,3.6099731157365533e-06,False,False,,,16,0.10691386628893271,0,0.0,,False
TRIM69,3.609746467598867e-06,False,True,1.1120782727485263,0.0011657389743494,2,0.8552572305681996,0,0.0,,True
FBXL18,3.6092831443364603e-06,False,True,0.8905265280406809,0.0011657389743494,4,0.4275737276938188,0,0.0,,True
MTRES1,3.608213212489767e-06,False,False,,,54,0.031662739127229646,0,0.0,,False
SEPTIN1,3.6026375352771114e-06,False,False,,,14,0.12193898731902943,0,0.0,,False
DUX4,3.601528208935761e-06,False,False,0.8907507529170857,0.0011657389743494,14,0.12190143979187855,0,0.0,,True
